MIRNA_ID	HAIRPIN_ID	FULL_ALIGN_HAIRPIN_START_INDEX	FULL_ALIGN_HAIRPIN_END_INDEX
hsa-let-7f-5p	hsa-let-7a-2	5	26
hsa-let-7f-5p	hsa-let-7a-1	6	27
hsa-let-7f-1-3p	hsa-let-7f-1	63	84
hsa-let-7f-2-3p	hsa-let-7f-2	58	79
hsa-let-7f-2-3p	hsa-let-7a-3	52	73
hsa-let-7f-2-3p	hsa-let-7a-1	57	78
hsa-mir-15a-5p	hsa-mir-15a	14	35
hsa-mir-15a-3p	hsa-mir-15a	51	72
hsa-mir-16-5p	hsa-mir-16-2	10	31
hsa-mir-16-5p	hsa-mir-16-1	14	35
hsa-mir-16-1-3p	hsa-mir-16-1	56	77
hsa-mir-17-5p	hsa-mir-17	14	36
hsa-mir-17-5p	hsa-mir-106a	14	35
hsa-mir-17-5p	hsa-mir-20a	9	30
hsa-mir-17-3p	hsa-mir-17	51	72
hsa-mir-18a-5p	hsa-mir-18a	6	28
hsa-mir-18a-5p	hsa-mir-18b	6	24
hsa-mir-18a-3p	hsa-mir-18a	47	69
hsa-mir-19a-5p	hsa-mir-19a	14	35
hsa-mir-19a-3p	hsa-mir-19a	49	71
hsa-mir-19a-3p	hsa-mir-19b-2	62	84
hsa-mir-19a-3p	hsa-mir-19b-1	54	76
hsa-mir-19b-1-5p	hsa-mir-19b-1	16	38
hsa-mir-19b-1-5p	hsa-mir-19b-2	19	36
hsa-mir-19b-3p	hsa-mir-19b-2	62	84
hsa-mir-19b-3p	hsa-mir-19b-1	54	76
hsa-mir-19b-3p	hsa-mir-19a	49	71
hsa-mir-19b-2-5p	hsa-mir-19b-2	19	40
hsa-mir-19b-2-5p	hsa-mir-19b-1	16	33
hsa-mir-20a-5p	hsa-mir-20a	8	30
hsa-mir-20a-5p	hsa-mir-20b	7	28
hsa-mir-20a-5p	hsa-mir-106a	14	35
hsa-mir-20a-5p	hsa-mir-17	15	36
hsa-mir-20a-3p	hsa-mir-20a	44	65
hsa-mir-21-5p	hsa-mir-21	8	29
hsa-mir-21-3p	hsa-mir-21	46	66
hsa-mir-22-5p	hsa-mir-22	15	36
hsa-mir-22-3p	hsa-mir-22	53	74
hsa-mir-23a-5p	hsa-mir-23a	9	30
hsa-mir-23a-3p	hsa-mir-23a	45	65
hsa-mir-23a-3p	hsa-mir-23b	58	75
hsa-mir-24-1-5p	hsa-mir-24-1	7	28
hsa-mir-24-3p	hsa-mir-24-2	50	71
hsa-mir-24-3p	hsa-mir-24-1	44	65
hsa-mir-24-2-5p	hsa-mir-24-2	13	34
hsa-mir-25-5p	hsa-mir-25	14	34
hsa-mir-25-3p	hsa-mir-25	52	73
hsa-mir-26a-5p	hsa-mir-26a-2	14	35
hsa-mir-26a-5p	hsa-mir-26a-1	10	31
hsa-mir-26a-5p	hsa-mir-26b	12	31
hsa-mir-26a-1-3p	hsa-mir-26a-1	49	70
hsa-mir-26b-5p	hsa-mir-26b	12	32
hsa-mir-26b-5p	hsa-mir-26a-2	14	33
hsa-mir-26b-5p	hsa-mir-26a-1	10	29
hsa-mir-26b-3p	hsa-mir-26b	47	68
hsa-mir-27a-5p	hsa-mir-27a	10	31
hsa-mir-27a-3p	hsa-mir-27a	51	71
hsa-mir-27a-3p	hsa-mir-27b	61	78
hsa-mir-28-5p	hsa-mir-28	14	35
hsa-mir-28-5p	hsa-mir-151b	63	78
hsa-mir-28-5p	hsa-mir-151a	14	29
hsa-mir-28-3p	hsa-mir-28	54	75
hsa-mir-29a-5p	hsa-mir-29a	4	25
hsa-mir-29a-3p	hsa-mir-29a	42	63
hsa-mir-29a-3p	hsa-mir-29c	54	75
hsa-mir-30a-5p	hsa-mir-30a	6	27
hsa-mir-30a-5p	hsa-mir-30e	17	38
hsa-mir-30a-5p	hsa-mir-30d	6	27
hsa-mir-30a-3p	hsa-mir-30a	47	68
hsa-mir-30a-3p	hsa-mir-30e	59	80
hsa-mir-31-5p	hsa-mir-31	8	28
hsa-mir-31-3p	hsa-mir-31	44	65
hsa-mir-32-5p	hsa-mir-32	6	27
hsa-mir-32-3p	hsa-mir-32	47	68
hsa-mir-33a-5p	hsa-mir-33a	6	26
hsa-mir-33a-3p	hsa-mir-33a	46	67
hsa-mir-92a-1-5p	hsa-mir-92a-1	11	33
hsa-mir-92a-3p	hsa-mir-92a-2	48	69
hsa-mir-92a-3p	hsa-mir-92a-1	48	69
hsa-mir-92a-3p	hsa-mir-92b	61	80
hsa-mir-92a-2-5p	hsa-mir-92a-2	9	30
hsa-mir-93-5p	hsa-mir-93	11	33
hsa-mir-93-3p	hsa-mir-93	50	71
hsa-mir-95-5p	hsa-mir-95	15	35
hsa-mir-95-3p	hsa-mir-95	49	70
hsa-mir-96-5p	hsa-mir-96	9	31
hsa-mir-96-3p	hsa-mir-96	52	73
hsa-mir-98-5p	hsa-mir-98	22	43
hsa-mir-98-3p	hsa-mir-98	80	101
hsa-mir-99a-5p	hsa-mir-99a	13	34
hsa-mir-99a-5p	hsa-mir-100	13	34
hsa-mir-99a-3p	hsa-mir-99a	50	71
hsa-mir-100-5p	hsa-mir-100	13	34
hsa-mir-100-5p	hsa-mir-99a	13	34
hsa-mir-100-3p	hsa-mir-100	48	69
hsa-mir-101-5p	hsa-mir-101-1	11	32
hsa-mir-101-3p	hsa-mir-101-2	49	69
hsa-mir-101-3p	hsa-mir-101-1	47	67
hsa-mir-29b-1-5p	hsa-mir-29b-1	10	33
hsa-mir-29b-1-5p	hsa-mir-29b-2	10	33
hsa-mir-29b-3p	hsa-mir-29b-2	52	74
hsa-mir-29b-3p	hsa-mir-29b-1	51	73
hsa-mir-29b-3p	hsa-mir-29c	54	70
hsa-mir-29b-2-5p	hsa-mir-29b-2	11	32
hsa-mir-103a-2-5p	hsa-mir-103a-2	11	33
hsa-mir-103a-2-5p	hsa-mir-103a-1	12	33
hsa-mir-103a-2-5p	hsa-mir-107	13	35
hsa-mir-103a-3p	hsa-mir-103a-1	48	70
hsa-mir-103a-3p	hsa-mir-103a-2	48	70
hsa-mir-103a-3p	hsa-mir-107	50	70
hsa-mir-105-5p	hsa-mir-105-2	13	35
hsa-mir-105-5p	hsa-mir-105-1	13	35
hsa-mir-105-3p	hsa-mir-105-2	51	72
hsa-mir-105-3p	hsa-mir-105-1	51	72
hsa-mir-106a-5p	hsa-mir-106a	13	35
hsa-mir-106a-5p	hsa-mir-17	15	36
hsa-mir-106a-5p	hsa-mir-20a	9	30
hsa-mir-106a-3p	hsa-mir-106a	50	71
hsa-mir-107	hsa-mir-107	50	72
hsa-mir-107	hsa-mir-103a-1	48	68
hsa-mir-107	hsa-mir-103a-2	48	68
hsa-mir-16-2-3p	hsa-mir-16-2	53	74
mmu-let-7g-5p	mmu-let-7g	7	28
mmu-let-7g-5p	mmu-mir-3962	35	51
mmu-let-7g-5p	mmu-let-7i	6	21
mmu-let-7g-3p	mmu-let-7g	63	84
mmu-let-7i-5p	mmu-let-7i	6	27
mmu-let-7i-5p	mmu-let-7j	33	54
mmu-let-7i-5p	mmu-let-7g	7	22
mmu-let-7i-5p	mmu-mir-3970	10	28
mmu-let-7i-3p	mmu-let-7i	62	83
mmu-mir-1a-1-5p	mmu-mir-1a-1	10	32
mmu-mir-1a-1-5p	mmu-mir-1a-2	8	30
mmu-mir-1a-3p	mmu-mir-1a-2	47	68
mmu-mir-1a-3p	mmu-mir-1a-1	49	70
mmu-mir-15b-5p	mmu-mir-15b	4	25
mmu-mir-15b-5p	mmu-mir-15a	15	33
mmu-mir-15b-3p	mmu-mir-15b	42	63
mmu-mir-23b-5p	mmu-mir-23b	9	29
mmu-mir-23b-3p	mmu-mir-23b	46	66
mmu-mir-23b-3p	mmu-mir-23a	46	63
mmu-mir-27b-5p	mmu-mir-27b	7	28
mmu-mir-27b-3p	mmu-mir-27b	49	69
mmu-mir-27b-3p	mmu-mir-27a	56	73
mmu-mir-29b-1-5p	mmu-mir-29b-1	6	27
mmu-mir-29b-3p	mmu-mir-29b-2	52	74
mmu-mir-29b-3p	mmu-mir-29b-1	47	69
mmu-mir-29b-3p	mmu-mir-29c	54	70
mmu-mir-30a-5p	mmu-mir-30a	6	27
mmu-mir-30a-5p	mmu-mir-30d	12	33
mmu-mir-30a-5p	mmu-mir-30e	17	38
mmu-mir-30a-3p	mmu-mir-30a	47	68
mmu-mir-30a-3p	mmu-mir-30e	59	80
mmu-mir-30a-3p	mmu-mir-30d	52	70
mmu-mir-30b-5p	mmu-mir-30b	21	42
mmu-mir-30b-5p	mmu-mir-30c-2	14	31
mmu-mir-30b-5p	mmu-mir-30c-1	17	34
mmu-mir-30b-3p	mmu-mir-30b	59	80
mmu-mir-99a-5p	mmu-mir-99a	5	26
mmu-mir-99a-5p	mmu-mir-100	13	34
mmu-mir-99a-3p	mmu-mir-99a	42	62
mmu-mir-99b-5p	mmu-mir-99b	7	28
mmu-mir-99b-3p	mmu-mir-99b	45	66
mmu-mir-101a-5p	mmu-mir-101a	14	35
mmu-mir-101a-3p	mmu-mir-101a	51	71
mmu-mir-101a-3p	mmu-mir-101c	46	64
mmu-mir-101a-3p	mmu-mir-101b	61	81
mmu-mir-124-5p	mmu-mir-124-2	25	46
mmu-mir-124-5p	mmu-mir-124-1	14	35
mmu-mir-124-5p	mmu-mir-124-3	6	27
mmu-mir-124-3p	mmu-mir-124-2	62	81
mmu-mir-124-3p	mmu-mir-124-1	53	72
mmu-mir-124-3p	mmu-mir-124-3	44	63
mmu-mir-125a-5p	mmu-mir-125a	6	29
mmu-mir-125a-3p	mmu-mir-125a	44	65
mmu-mir-125b-5p	mmu-mir-125b-1	15	36
mmu-mir-125b-5p	mmu-mir-125b-2	7	28
mmu-mir-125b-2-3p	mmu-mir-125b-2	46	67
mmu-mir-126a-5p	mmu-mir-126a	9	29
mmu-mir-126a-3p	mmu-mir-126a	46	67
mmu-mir-127-5p	mmu-mir-127	9	30
mmu-mir-127-3p	mmu-mir-127	43	64
mmu-mir-128-1-5p	mmu-mir-128-1	9	29
mmu-mir-128-3p	mmu-mir-128-2	48	68
mmu-mir-128-3p	mmu-mir-128-1	44	64
mmu-mir-130a-5p	mmu-mir-130a	3	24
mmu-mir-130a-3p	mmu-mir-130a	42	63
mmu-mir-130a-3p	mmu-mir-6389	10	24
mmu-mir-9-5p	mmu-mir-9-3	16	38
mmu-mir-9-5p	mmu-mir-9-1	16	38
mmu-mir-9-5p	mmu-mir-9-2	8	30
mmu-mir-9-3p	mmu-mir-9-3	55	76
mmu-mir-9-3p	mmu-mir-9-1	55	76
mmu-mir-9-3p	mmu-mir-9-2	45	66
mmu-mir-132-5p	mmu-mir-132	5	26
mmu-mir-132-3p	mmu-mir-132	42	63
mmu-mir-133a-5p	mmu-mir-133a-2	23	43
mmu-mir-133a-5p	mmu-mir-133a-1	7	27
mmu-mir-133a-3p	mmu-mir-133a-2	59	80
mmu-mir-133a-3p	mmu-mir-133a-1	43	64
mmu-mir-133a-3p	mmu-mir-133b	66	86
mmu-mir-133a-3p	mmu-mir-133c	56	70
mmu-mir-134-5p	mmu-mir-134	7	28
mmu-mir-134-3p	mmu-mir-134	46	65
mmu-mir-135a-5p	mmu-mir-135a-2	23	45
mmu-mir-135a-5p	mmu-mir-135a-1	17	39
mmu-mir-135a-5p	mmu-mir-135b	16	38
mmu-mir-135a-1-3p	mmu-mir-135a-1	56	77
mmu-mir-136-5p	mmu-mir-136	5	26
mmu-mir-136-3p	mmu-mir-136	40	61
mmu-mir-137-5p	mmu-mir-137	9	31
mmu-mir-137-3p	mmu-mir-137	45	67
mmu-mir-138-5p	mmu-mir-138-1	23	45
mmu-mir-138-5p	mmu-mir-138-2	2	24
mmu-mir-138-2-3p	mmu-mir-138-2	49	69
mmu-mir-140-5p	mmu-mir-140	6	27
mmu-mir-140-3p	mmu-mir-140	45	65
mmu-mir-141-5p	mmu-mir-141	6	27
mmu-mir-141-3p	mmu-mir-141	48	69
mmu-mir-141-3p	mmu-mir-200a	54	74
mmu-mir-142-5p	mmu-mir-142	4	24
mmu-mir-142-5p	mmu-mir-3964	48	66
mmu-mir-142-3p	mmu-mir-142	40	62
mmu-mir-144-5p	mmu-mir-144	6	28
mmu-mir-144-3p	mmu-mir-144	43	62
mmu-mir-145a-5p	mmu-mir-145a	7	29
mmu-mir-145a-5p	mmu-mir-145b	17	33
mmu-mir-145a-5p	mmu-mir-6402	60	74
mmu-mir-145a-3p	mmu-mir-145a	47	68
mmu-mir-146a-5p	mmu-mir-146a	6	27
mmu-mir-146a-5p	mmu-mir-146b	29	45
mmu-mir-146a-3p	mmu-mir-146a	42	63
mmu-mir-149-5p	mmu-mir-149	4	26
mmu-mir-149-3p	mmu-mir-149	44	65
mmu-mir-150-5p	mmu-mir-150	6	27
mmu-mir-150-3p	mmu-mir-150	42	63
mmu-mir-151-5p	mmu-mir-151	8	28
mmu-mir-151-5p	mmu-mir-28c	44	60
mmu-mir-151-5p	mmu-mir-28a	15	30
mmu-mir-151-3p	mmu-mir-151	43	63
mmu-mir-152-5p	mmu-mir-152	8	31
mmu-mir-152-3p	mmu-mir-152	47	67
mmu-mir-152-3p	mmu-mir-148b	61	79
mmu-mir-153-5p	mmu-mir-153	11	27
mmu-mir-153-3p	mmu-mir-153	44	65
mmu-mir-154-5p	mmu-mir-154	6	27
mmu-mir-154-3p	mmu-mir-154	42	63
mmu-mir-155-5p	mmu-mir-155	4	26
mmu-mir-155-3p	mmu-mir-155	43	63
mmu-mir-10b-5p	mmu-mir-10b	5	27
mmu-mir-10b-5p	mmu-mir-10a	22	44
mmu-mir-10b-3p	mmu-mir-10b	45	66
mmu-mir-129-5p	mmu-mir-129-2	15	35
mmu-mir-129-5p	mmu-mir-129-1	6	26
mmu-mir-129-1-3p	mmu-mir-129-1	49	70
mmu-mir-129-1-3p	mmu-mir-129-2	57	75
mmu-mir-181a-5p	mmu-mir-181a-1	14	36
mmu-mir-181a-5p	mmu-mir-181a-2	7	29
mmu-mir-181a-5p	mmu-mir-181c	17	38
mmu-mir-181a-2-3p	mmu-mir-181a-2	54	75
mmu-mir-182-5p	mmu-mir-182	7	31
mmu-mir-182-3p	mmu-mir-182	50	70
mmu-mir-183-5p	mmu-mir-183	6	27
mmu-mir-183-3p	mmu-mir-183	45	66
mmu-mir-184-5p	mmu-mir-184	6	27
mmu-mir-184-3p	mmu-mir-184	45	66
mmu-mir-185-5p	mmu-mir-185	7	28
mmu-mir-185-3p	mmu-mir-185	41	61
mmu-mir-186-5p	mmu-mir-186	7	28
mmu-mir-186-3p	mmu-mir-186	46	67
mmu-mir-187-5p	mmu-mir-187	3	24
mmu-mir-187-3p	mmu-mir-187	40	61
mmu-mir-188-5p	mmu-mir-188	6	26
mmu-mir-188-3p	mmu-mir-188	45	65
mmu-mir-24-1-5p	mmu-mir-24-1	6	28
mmu-mir-24-1-5p	mmu-mir-24-2	25	40
mmu-mir-24-3p	mmu-mir-24-2	61	82
mmu-mir-24-3p	mmu-mir-24-1	44	65
mmu-mir-190a-5p	mmu-mir-190a	6	27
mmu-mir-190a-5p	mmu-mir-190b	11	25
mmu-mir-190a-3p	mmu-mir-190a	42	63
mmu-mir-191-5p	mmu-mir-191	7	29
mmu-mir-191-3p	mmu-mir-191	49	70
hsa-mir-192-5p	hsa-mir-192	24	44
hsa-mir-192-5p	hsa-mir-215	28	45
hsa-mir-192-3p	hsa-mir-192	67	88
mmu-mir-193a-5p	mmu-mir-193a	7	28
mmu-mir-193a-3p	mmu-mir-193a	41	62
mmu-mir-193a-3p	mmu-mir-193b	48	66
mmu-mir-194-5p	mmu-mir-194-2	16	37
mmu-mir-194-5p	mmu-mir-194-1	7	28
mmu-mir-194-1-3p	mmu-mir-194-1	42	63
mmu-mir-195a-5p	mmu-mir-195a	21	41
mmu-mir-195a-5p	mmu-mir-195b	15	30
mmu-mir-195a-3p	mmu-mir-195a	59	80
hsa-mir-196a-5p	hsa-mir-196a-2	25	46
hsa-mir-196a-5p	hsa-mir-196a-1	7	28
hsa-mir-196a-5p	hsa-mir-196b	15	36
hsa-mir-197-5p	hsa-mir-197	9	31
hsa-mir-197-3p	hsa-mir-197	48	69
hsa-mir-198	hsa-mir-198	6	27
mmu-mir-199a-5p	mmu-mir-199a-2	31	53
mmu-mir-199a-5p	mmu-mir-199a-1	6	28
mmu-mir-199a-5p	mmu-mir-199b	26	48
mmu-mir-199a-3p	mmu-mir-199b	65	86
mmu-mir-199a-3p	mmu-mir-199a-2	70	91
mmu-mir-199a-3p	mmu-mir-199a-1	46	67
hsa-mir-199a-5p	hsa-mir-199a-2	31	53
hsa-mir-199a-5p	hsa-mir-199a-1	6	28
hsa-mir-199a-3p	hsa-mir-199b	65	86
hsa-mir-199a-3p	hsa-mir-199a-2	70	91
hsa-mir-199a-3p	hsa-mir-199a-1	47	68
mmu-mir-200b-5p	mmu-mir-200b	9	30
mmu-mir-200b-3p	mmu-mir-200b	45	66
mmu-mir-200b-3p	mmu-mir-200c	45	65
mmu-mir-201-5p	mmu-mir-201	6	27
mmu-mir-201-3p	mmu-mir-201	41	63
mmu-mir-202-5p	mmu-mir-202	9	29
mmu-mir-202-3p	mmu-mir-202	45	66
mmu-mir-203-5p	mmu-mir-203	10	31
mmu-mir-203-3p	mmu-mir-203	48	69
mmu-mir-204-5p	mmu-mir-204	6	27
mmu-mir-204-5p	mmu-mir-211	26	47
mmu-mir-204-3p	mmu-mir-204	45	65
mmu-mir-205-5p	mmu-mir-205	7	28
mmu-mir-205-3p	mmu-mir-205	43	64
mmu-mir-206-5p	mmu-mir-206	8	30
mmu-mir-206-3p	mmu-mir-206	46	67
mmu-mir-207	mmu-mir-207	52	74
mmu-mir-207	mmu-mir-8113	93	109
hsa-mir-208a-5p	hsa-mir-208a	9	30
hsa-mir-208a-3p	hsa-mir-208a	44	65
hsa-mir-129-5p	hsa-mir-129-2	15	35
hsa-mir-129-5p	hsa-mir-129-1	5	25
hsa-mir-129-1-3p	hsa-mir-129-1	49	70
hsa-mir-129-1-3p	hsa-mir-129-2	57	75
hsa-mir-148a-5p	hsa-mir-148a	6	27
hsa-mir-148a-3p	hsa-mir-148a	44	65
hsa-mir-30c-5p	hsa-mir-30c-1	17	39
hsa-mir-30c-5p	hsa-mir-30c-2	7	29
hsa-mir-30c-5p	hsa-mir-30b	17	34
hsa-mir-30c-2-3p	hsa-mir-30c-2	47	68
hsa-mir-30d-5p	hsa-mir-30d	6	27
hsa-mir-30d-5p	hsa-mir-30a	6	27
hsa-mir-30d-3p	hsa-mir-30d	46	67
mmu-mir-122-5p	mmu-mir-122	6	27
mmu-mir-122-3p	mmu-mir-122	41	60
mmu-mir-143-5p	mmu-mir-143	6	26
mmu-mir-143-3p	mmu-mir-143	40	60
mmu-mir-30e-5p	mmu-mir-30e	17	38
mmu-mir-30e-5p	mmu-mir-30a	6	27
mmu-mir-30e-3p	mmu-mir-30e	59	80
mmu-mir-30e-3p	mmu-mir-30a	47	68
hsa-mir-139-5p	hsa-mir-139	7	29
hsa-mir-139-3p	hsa-mir-139	43	65
hsa-mir-147a	hsa-mir-147a	47	66
hsa-mir-147a	hsa-mir-147b	49	68
hsa-mir-7-5p	hsa-mir-7-3	31	53
hsa-mir-7-5p	hsa-mir-7-2	32	54
hsa-mir-7-5p	hsa-mir-7-1	24	46
hsa-mir-7-1-3p	hsa-mir-7-1	66	87
hsa-mir-7-2-3p	hsa-mir-7-2	72	93
hsa-mir-10a-5p	hsa-mir-10a	22	44
hsa-mir-10a-5p	hsa-mir-10b	27	49
hsa-mir-10a-3p	hsa-mir-10a	63	84
hsa-mir-10b-5p	hsa-mir-10b	27	49
hsa-mir-10b-5p	hsa-mir-10a	22	44
hsa-mir-10b-3p	hsa-mir-10b	66	87
hsa-mir-34a-5p	hsa-mir-34a	22	43
hsa-mir-34a-3p	hsa-mir-34a	64	85
hsa-mir-181a-5p	hsa-mir-181a-1	24	46
hsa-mir-181a-5p	hsa-mir-181a-2	39	61
hsa-mir-181a-2-3p	hsa-mir-181a-2	77	98
hsa-mir-181b-5p	hsa-mir-181b-2	16	38
hsa-mir-181b-5p	hsa-mir-181b-1	36	58
hsa-mir-181b-5p	hsa-mir-181d	36	58
hsa-mir-181b-3p	hsa-mir-181b-1	76	96
hsa-mir-181b-3p	hsa-mir-181b-2	54	74
hsa-mir-181c-5p	hsa-mir-181c	27	48
hsa-mir-181c-3p	hsa-mir-181c	65	86
hsa-mir-181c-3p	hsa-mir-181a-1	63	78
hsa-mir-182-5p	hsa-mir-182	23	46
hsa-mir-182-3p	hsa-mir-182	67	87
hsa-mir-183-5p	hsa-mir-183	27	48
hsa-mir-183-3p	hsa-mir-183	66	87
hsa-mir-187-5p	hsa-mir-187	35	56
hsa-mir-187-3p	hsa-mir-187	71	92
hsa-mir-196a-3p	hsa-mir-196a-2	62	83
hsa-mir-199b-5p	hsa-mir-199b	26	48
hsa-mir-199b-3p	hsa-mir-199b	65	86
hsa-mir-199b-3p	hsa-mir-199a-2	70	91
hsa-mir-199b-3p	hsa-mir-199a-1	47	68
hsa-mir-203a	hsa-mir-203a	65	86
hsa-mir-204-5p	hsa-mir-204	33	54
hsa-mir-204-5p	hsa-mir-211	26	41
hsa-mir-204-3p	hsa-mir-204	72	92
hsa-mir-205-5p	hsa-mir-205	34	55
hsa-mir-205-3p	hsa-mir-205	71	91
hsa-mir-210-5p	hsa-mir-210	28	49
hsa-mir-210-3p	hsa-mir-210	66	87
hsa-mir-211-5p	hsa-mir-211	26	47
hsa-mir-211-5p	hsa-mir-204	33	48
hsa-mir-211-3p	hsa-mir-211	63	83
hsa-mir-212-5p	hsa-mir-212	31	53
hsa-mir-212-3p	hsa-mir-212	71	91
hsa-mir-181a-3p	hsa-mir-181a-1	64	85
hsa-mir-214-5p	hsa-mir-214	30	51
hsa-mir-214-3p	hsa-mir-214	71	92
hsa-mir-215-5p	hsa-mir-215	27	47
hsa-mir-215-5p	hsa-mir-192	25	42
hsa-mir-215-3p	hsa-mir-215	64	86
hsa-mir-216a-5p	hsa-mir-216a	19	40
hsa-mir-216a-3p	hsa-mir-216a	58	79
hsa-mir-217	hsa-mir-217	35	57
hsa-mir-218-5p	hsa-mir-218-2	25	45
hsa-mir-218-5p	hsa-mir-218-1	25	45
hsa-mir-218-1-3p	hsa-mir-218-1	68	89
hsa-mir-218-2-3p	hsa-mir-218-2	67	88
hsa-mir-219a-5p	hsa-mir-219a-2	19	39
hsa-mir-219a-5p	hsa-mir-219a-1	21	41
hsa-mir-219a-1-3p	hsa-mir-219a-1	62	83
hsa-mir-221-5p	hsa-mir-221	25	46
hsa-mir-221-3p	hsa-mir-221	65	87
hsa-mir-222-5p	hsa-mir-222	31	52
hsa-mir-222-3p	hsa-mir-222	69	89
hsa-mir-223-5p	hsa-mir-223	26	47
hsa-mir-223-3p	hsa-mir-223	68	89
hsa-mir-224-5p	hsa-mir-224	8	28
hsa-mir-224-3p	hsa-mir-224	53	75
hsa-mir-200b-5p	hsa-mir-200b	21	42
hsa-mir-200b-3p	hsa-mir-200b	57	78
hsa-mir-200b-3p	hsa-mir-200c	44	64
mmu-mir-290a-5p	mmu-mir-290a	14	35
mmu-mir-290a-3p	mmu-mir-290a	49	72
mmu-mir-291a-5p	mmu-mir-291a	14	35
mmu-mir-291a-5p	mmu-mir-291b	14	33
mmu-mir-291a-3p	mmu-mir-291a	50	71
mmu-mir-292-5p	mmu-mir-292	12	33
mmu-mir-292-3p	mmu-mir-292	50	73
mmu-mir-293-5p	mmu-mir-293	14	35
mmu-mir-293-3p	mmu-mir-293	48	69
mmu-mir-294-5p	mmu-mir-294	15	36
mmu-mir-294-3p	mmu-mir-294	51	72
mmu-mir-295-5p	mmu-mir-295	7	28
mmu-mir-295-3p	mmu-mir-295	43	65
mmu-mir-296-5p	mmu-mir-296	13	33
mmu-mir-296-3p	mmu-mir-296	47	68
mmu-mir-297a-5p	mmu-mir-297a-4	11	32
mmu-mir-297a-5p	mmu-mir-297a-3	11	32
mmu-mir-297a-5p	mmu-mir-297a-2	11	32
mmu-mir-297a-5p	mmu-mir-297a-1	15	36
mmu-mir-297a-5p	mmu-mir-466k	102	120
mmu-mir-297a-5p	mmu-mir-466j	75	96
mmu-mir-297a-5p	mmu-mir-297c	11	32
mmu-mir-297a-5p	mmu-mir-466m	15	31
mmu-mir-297a-5p	mmu-mir-669m-2	24	40
mmu-mir-297a-5p	mmu-mir-669m-1	25	41
mmu-mir-298-5p	mmu-mir-298	11	33
mmu-mir-298-3p	mmu-mir-298	51	72
mmu-mir-299a-5p	mmu-mir-299a	7	28
mmu-mir-299a-5p	mmu-mir-299b	1	21
mmu-mir-299a-3p	mmu-mir-299a	39	60
mmu-mir-299a-3p	mmu-mir-299b	32	49
mmu-mir-300-5p	mmu-mir-300	6	27
mmu-mir-300-3p	mmu-mir-300	51	72
mmu-mir-300-3p	mmu-mir-381	53	68
mmu-mir-301a-5p	mmu-mir-301a	14	35
mmu-mir-301a-3p	mmu-mir-301a	51	73
mmu-mir-301a-3p	mmu-mir-301b	55	77
mmu-mir-302a-5p	mmu-mir-302a	6	27
mmu-mir-302a-3p	mmu-mir-302a	44	66
mmu-mir-302a-3p	mmu-mir-302b	48	65
mmu-mir-302a-3p	mmu-mir-302d	42	58
mmu-mir-302a-3p	mmu-mir-302c	44	59
mmu-mir-34c-5p	mmu-mir-34c	13	35
mmu-mir-34c-5p	mmu-mir-34b	14	35
mmu-mir-34c-3p	mmu-mir-34c	46	67
mmu-mir-34b-5p	mmu-mir-34b	14	36
mmu-mir-34b-5p	mmu-mir-34c	13	34
mmu-mir-34b-3p	mmu-mir-34b	51	72
